Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
1	6482	21,5	77011	-0,05	-0,2	0,99	-0,01	0,05	0,04	-0,05	-0,06	-0,03	2366,78	0	0
2	6530	21,5	77021	-0,2	-0,23	0,98	0	0,04	0,04	-0,04	-0,07	-0,03	2365,66	0	0
3	6573	21,4	77006	-0,12	-0,25	0,88	0	0,04	0,04	-0,04	-0,06	-0,03	2366,53	0	0
4	6622	21,4	77003	-0,05	-0,15	0,94	0,01	0,09	0,05	-0,04	-0,06	-0,03	2366,87	0	0
5	6665	21,5	77008	-0,09	-0,24	0,91	0,01	0,09	0,05	-0,04	-0,06	-0,03	2367,11	0	0
6	6854	21,5	77005	-0,07	-0,25	0,99	0,02	0,09	0,06	-0,05	-0,06	-0,03	2367,45	0	0
7	6897	21,5	77005	-0,1	-0,2	0,96	0,02	0,09	0,06	-0,04	-0,07	-0,03	2367,45	0	0
8	6940	21,4	77016	-0,15	-0,19	0,89	0,03	0,09	0,07	-0,04	-0,07	-0,03	2365,42	0	0
9	6982	21,5	77011	-0,13	-0,18	0,95	0,03	0,09	0,07	-0,04	-0,06	-0,03	2366,78	2367	0
10	7026	21,5	77011	-0,19	-0,25	0,88	0,03	0,09	0,08	-0,05	-0,06	-0,03	2366,78	2367	2367
11	7215	21,5	77011	-0,16	-0,13	0,93	0,04	0,09	0,08	-0,04	-0,06	-0,03	2366,78	2367	2367
12	7259	21,5	77015	-0,15	-0,22	0,99	0,04	0,09	0,09	-0,05	-0,06	-0,03	2366,33	2367	2367
13	7302	21,5	77005	-0,12	-0,2	1	0,05	0,09	0,09	-0,05	-0,06	-0,03	2367,45	2367	2367
14	7345	21,5	77002	-0,11	-0,23	0,87	0,05	0,08	0,1	-0,04	-0,07	-0,03	2367,79	2367	2367
15	7388	21,5	77005	-0,05	-0,18	0,95	0,05	0,09	0,11	-0,04	-0,06	-0,03	2367,45	2367	2367
16	7431	21,5	77005	-0,16	-0,2	0,9	0,06	0,08	0,12	-0,05	-0,06	-0,03	2367,45	2367	2367
17	7610	21,5	77005	-0,15	-0,16	0,93	0,07	0,08	0,13	-0,04	-0,06	-0,03	2367,45	2367	2367
18	7654	21,5	77008	-0,19	-0,19	0,91	0,07	0,12	0,13	-0,05	-0,06	-0,03	2367,11	2367	2367
19	7697	21,5	77005	-0,16	-0,23	0,88	0,07	0,12	0,14	-0,05	-0,06	-0,03	2367,45	2367	2367
20	7740	21,5	77007	-0,12	-0,23	0,93	0,07	0,12	0,15	-0,04	-0,07	-0,03	2367,23	2367	2367
21	7784	21,5	77002	-0,16	-0,24	0,94	0,08	0,12	0,15	-0,04	-0,06	-0,03	2367,79	2367	2367
22	7833	21,5	77007	-0,16	-0,17	0,91	0,08	0,12	0,16	-0,04	-0,06	-0,03	2367,23	2367	2367
23	7876	21,5	76999	-0,21	-0,2	0,88	0,08	0,12	0,17	-0,04	-0,07	-0,02	2368,12	2367	2367
24	7919	21,5	77005	-0,13	-0,2	0,91	0,08	0,11	0,18	-0,04	-0,06	-0,03	2367,45	2367	2367
25	7963	21,5	77014	-0,04	-0,22	0,91	0,09	0,17	0,18	-0,04	-0,07	-0,03	2366,44	2367	2367
26	8018	21,5	77007	-0,1	-0,23	1	0,09	0,17	0,19	-0,04	-0,06	-0,03	2367,23	2367	2367
27	8068	21,5	77014	-0,09	-0,16	0,94	0,1	0,16	0,2	-0,05	-0,06	-0,02	2366,44	2367	2367
28	8111	21,5	76997	-0,11	-0,26	0,82	0,1	0,16	0,2	-0,04	-0,06	-0,03	2368,35	2367	2367
29	8154	21,5	76996	-0,15	-0,19	1,04	0,1	0,16	0,21	-0,04	-0,07	-0,02	2368,46	2367	2367
30	8197	21,5	76997	-0,01	-0,19	0,91	0,11	0,16	0,22	-0,04	-0,06	-0,03	2368,35	2367	2367
31	8246	21,5	77010	-0,11	-0,21	0,91	0,11	0,16	0,22	-0,05	-0,06	-0,03	2366,89	2368	2368
32	8300	21,5	77010	-0,19	-0,21	0,88	0,12	0,16	0,23	-0,04	-0,07	-0,03	2366,89	2367	2367
33	8343	21,5	76994	-0,1	-0,14	0,88	0,12	0,16	0,24	-0,04	-0,07	-0,03	2368,68	2367	2367
34	8387	21,5	76994	-0,15	-0,23	0,97	0,12	0,2	0,25	-0,04	-0,06	-0,03	2368,68	2368	2368
35	8430	21,5	76993	-0,1	-0,19	0,89	0,13	0,2	0,25	-0,04	-0,06	-0,02	2368,8	2368	2368
36	8473	21,5	77014	-0,14	-0,23	0,88	0,13	0,2	0,26	-0,04	-0,06	-0,03	2366,44	2368	2368
37	8517	21,5	77010	-0,09	-0,19	0,94	0,13	0,2	0,27	-0,04	-0,06	-0,03	2366,89	2368	2368
38	8573	21,5	76996	-0,16	-0,1	0,94	0,14	0,2	0,28	-0,04	-0,06	-0,03	2368,46	2368	2368
39	8617	21,5	77010	-0,13	-0,17	0,93	0,14	0,16	0,28	-0,04	-0,06	-0,03	2366,89	2368	2368
40	8660	21,5	77014	-0,15	-0,15	0,9	0,15	0,16	0,29	-0,05	-0,06	-0,03	2366,44	2368	2368
41	8711	21,5	76996	-0,12	-0,2	0,91	0,15	0,17	0,29	-0,04	-0,07	-0,02	2368,46	2368	2368
42	8754	21,5	77001	-0,15	-0,2	0,93	0,15	0,17	0,3	-0,04	-0,06	-0,03	2367,9	2368	2368
43	8801	21,5	77002	-0,07	-0,22	0,94	0,16	0,17	0,31	-0,04	-0,06	-0,03	2367,79	2368	2368
44	8845	21,5	77001	-0,09	-0,23	0,98	0,16	0,22	0,31	-0,04	-0,06	-0,02	2367,9	2367	2367
45	8888	21,5	77010	-0,14	-0,17	0,98	0,16	0,22	0,32	-0,05	-0,06	-0,03	2366,89	2368	2368
46	8931	21,5	77007	-0,16	-0,19	1,03	0,17	0,22	0,32	-0,04	-0,06	-0,03	2367,23	2368	2368
47	8975	21,5	76997	-0,08	-0,13	0,9	0,17	0,25	0,33	-0,04	-0,06	-0,03	2368,35	2367	2367
48	9023	21,5	77007	-0,12	-0,18	0,95	0,18	0,25	0,33	-0,04	-0,06	-0,03	2367,23	2368	2368
49	9067	21,5	77001	-0,1	-0,15	0,86	0,18	0,25	0,34	-0,05	-0,06	-0,03	2367,9	2368	2368
50	9110	21,5	77010	-0,12	-0,2	0,99	0,18	0,26	0,35	-0,04	-0,07	-0,03	2366,89	2368	2368
51	9153	21,5	77007	-0,16	-0,16	0,89	0,19	0,26	0,36	-0,04	-0,06	-0,03	2367,23	2368	2368
52	9197	21,5	77014	-0,12	-0,1	0,84	0,19	0,26	0,35	-0,04	-0,06	-0,03	2366,44	2367	2367
53	9246	21,5	77007	-0,13	-0,23	0,9	0,19	0,26	0,37	-0,04	-0,06	-0,02	2367,23	2367	2367
54	9302	21,5	77004	-0,12	-0,17	1	0,2	0,26	0,37	-0,04	-0,07	-0,02	2367,56	2367	2367
55	9345	21,5	77007	-0,09	-0,23	0,84	0,21	0,26	0,38	-0,04	-0,06	-0,03	2367,23	2367	2367
56	9388	21,5	77007	-0,14	-0,16	0,92	0,21	0,26	0,38	-0,04	-0,06	-0,03	2367,23	2367	2367
57	9431	21,5	77014	-0,2	-0,2	0,98	0,22	0,26	0,39	-0,05	-0,06	-0,03	2366,44	2367	2367
58	9480	21,5	77007	-0,17	-0,16	0,89	0,22	0,26	0,39	-0,05	-0,06	-0,03	2367,23	2367	2367
59	9524	21,5	76996	-0,09	-0,19	0,98	0,22	0,26	0,4	-0,04	-0,07	-0,03	2368,46	2367	2367
60	9567	21,5	77007	-0,14	-0,15	0,94	0,23	0,26	0,4	-0,04	-0,06	-0,02	2367,23	2367	2367
61	9610	21,5	77001	-0,16	-0,19	0,92	0,23	0,26	0,41	-0,04	-0,06	-0,03	2367,9	2367	2367
62	9653	21,5	77005	-0,16	-0,2	0,91	0,23	0,31	0,41	-0,04	-0,06	-0,02	2367,45	2367	2367
63	9702	21,5	76996	-0,13	-0,22	0,96	0,24	0,31	0,41	-0,04	-0,06	-0,03	2368,46	2367	2367
64	9751	21,5	76996	-0,16	-0,17	0,94	0,24	0,31	0,42	-0,04	-0,06	-0,03	2368,46	2368	2368
65	9794	21,5	77007	-0,12	-0,13	0,9	0,25	0,31	0,43	-0,04	-0,06	-0,03	2367,23	2368	2368
66	9838	21,5	76998	-0,14	-0,15	0,89	0,26	0,3	0,43	-0,04	-0,06	-0,03	2368,23	2368	2368
67	9881	21,5	77007	-0,07	-0,25	0,89	0,26	0,3	0,44	-0,05	-0,06	-0,03	2367,23	2368	2368
68	9929	21,5	76987	-0,16	-0,27	0,84	0,26	0,3	0,45	-0,04	-0,07	-0,02	2369,47	2368	2368
69	9978	21,5	76998	-0,14	-0,16	0,93	0,27	0,3	0,45	-0,04	-0,06	-0,02	2368,23	2368	2368
70	10021	21,5	77016	-0,18	-0,16	1,12	0,27	0,3	0,46	-0,05	-0,06	-0,03	2366,22	2368	2368
71	10065	21,5	77001	-0,09	-0,16	0,91	0,27	0,34	0,46	-0,04	-0,06	-0,02	2367,9	2368	2368
72	10108	21,5	77004	-0,16	-0,2	0,94	0,28	0,34	0,47	-0,04	-0,07	-0,03	2367,56	2368	2368
73	10151	21,5	77010	-0,1	-0,3	0,85	0,28	0,34	0,48	-0,04	-0,06	-0,03	2366,89	2368	2368
74	10201	21,5	77001	-0,1	-0,15	0,89	0,28	0,34	0,48	-0,04	-0,06	-0,02	2367,9	2368	2368
75	10245	21,5	77007	-0,09	-0,22	0,94	0,29	0,39	0,5	-0,05	-0,06	-0,03	2367,23	2368	2368
76	10288	21,5	77003	-0,13	-0,22	0,84	0,29	0,39	0,5	-0,04	-0,06	-0,03	2367,67	2368	2368
77	10331	21,5	76989	-0,16	-0,2	0,9	0,29	0,39	0,5	-0,04	-0,07	-0,03	2369,24	2367	2367
78	10375	21,5	77001	-0,19	-0,18	0,96	0,3	0,39	0,5	-0,05	-0,06	-0,03	2367,9	2368	2368
79	10424	21,5	76998	-0,15	-0,16	0,99	0,3	0,39	0,44	-0,05	-0,06	-0,03	2368,23	2368	2368
80	10474	21,5	76995	-0,1	-0,16	0,91	0,31	0,39	0,44	-0,04	-0,07	-0,03	2368,57	2368	2368
81	10517	21,5	77007	-0,17	-0,16	0,91	0,31	0,39	0,45	-0,04	-0,07	-0,03	2367,23	2368	2368
82	10572	21,5	76998	-0,16	-0,18	0,88	0,32	0,39	0,45	-0,04	-0,06	-0,03	2368,23	2368	2368
83	10616	21,5	77010	-0,05	-0,19	0,98	0,32	0,38	0,46	-0,04	-0,06	-0,03	2366,89	2368	2368
84	10665	21,5	77001	-0,17	-0,18	0,84	0,32	0,38	0,47	-0,04	-0,06	-0,03	2367,9	2368	2368
85	10708	21,5	77007	-0,12	-0,24	0,93	0,33	0,38	0,48	-0,04	-0,06	-0,03	2367,23	2368	2368
86	10752	21,5	77007	-0,11	-0,14	0,91	0,33	0,38	0,49	-0,04	-0,07	-0,03	2367,23	2368	2368
87	10796	21,5	77001	-0,16	-0,2	0,91	0,34	0,38	0,49	-0,05	-0,06	-0,03	2367,9	2368	2368
88	10839	21,5	77010	-0,16	-0,22	0,98	0,34	0,38	0,5	-0,05	-0,06	-0,03	2366,89	2368	2368
