NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,3016,0.00,-0.05,1.05,0.02,-0.21,0.08,-1.10,0.91,-0.56,0.91, 
21,3495,2327.00,-0.06,1.05,0.00,-0.21,0.08,-1.08,1.05,-0.28,1.26,Q
41,3973,2326.00,-0.03,1.12,0.04,-0.22,0.08,-1.06,1.75,-0.56,1.05,Q
61,4450,2327.00,-0.05,1.05,-0.06,-0.21,0.08,-1.07,0.77,-0.49,0.91,Q
81,4927,2327.00,0.00,1.03,0.03,-0.22,0.08,-1.06,-2.52,6.79,-0.77,Q
101,5404,2326.00,-0.02,1.08,-0.03,-0.21,0.08,-1.07,3.22,-0.35,1.12,Q
121,5881,2327.00,-0.05,1.05,-0.02,-0.21,0.08,-1.07,1.05,-0.56,0.70,Q
141,6519,2327.00,-0.03,1.06,0.00,-0.21,0.08,-1.06,1.54,-0.56,1.26,Q
161,6996,2327.00,-0.05,1.05,-0.05,-0.21,0.08,-1.07,-0.21,-0.77,0.42,Q
181,7475,2327.00,-0.03,1.06,0.02,-0.21,0.08,-1.06,-3.29,-0.63,0.91,Q
201,7953,2326.00,-0.05,1.06,0.05,-0.21,0.08,-1.07,1.47,-0.49,1.26,Q
221,8431,2326.00,-0.07,1.05,-0.03,-0.21,0.08,-1.06,1.47,-0.56,-0.28,Q
241,8909,2327.00,-0.03,1.07,0.00,-0.21,0.08,-1.06,1.26,-0.70,1.47,Q
261,9387,2327.00,-0.06,1.05,-0.03,-0.21,0.08,-1.07,0.00,-0.84,1.05,Q
281,10010,2328.00,-0.05,1.07,0.00,-0.21,0.08,-1.06,1.75,-0.77,1.19,Q
301,10489,2328.00,-0.05,1.05,-0.03,-0.21,0.08,-1.06,0.70,-0.70,1.26,Q
321,10968,2327.00,0.00,1.06,0.05,-0.21,0.08,-1.06,1.26,-0.56,1.05,Q
341,11447,2327.00,-0.05,1.06,0.00,-0.22,0.08,-1.06,0.84,-0.63,0.63,Q
361,11925,2327.00,-0.05,1.06,-0.02,-0.21,0.08,-1.07,1.05,-0.77,1.12,Q
381,12404,2327.00,-0.08,1.02,-0.03,-0.21,0.08,-1.06,1.05,-0.77,1.40,Q
401,12882,2327.00,-0.04,1.07,-0.07,-0.21,0.08,-1.06,1.05,-0.56,0.84,Q
421,13489,2327.00,-0.04,1.05,-0.02,-0.21,0.08,-1.06,1.12,-0.56,1.12,Q
441,13968,2327.00,-0.04,1.05,-0.02,-0.22,0.08,-1.06,1.26,-0.70,1.19,Q
461,14447,2327.00,-0.05,1.05,-0.01,-0.22,0.08,-1.07,1.05,-0.70,1.19,Q
481,14926,2328.00,-0.10,1.07,-0.06,-0.22,0.08,-1.06,2.24,-0.77,0.42,Q
501,15417,2328.00,0.02,0.95,-0.16,-0.22,0.08,-1.07,0.77,-0.77,0.56,Q
521,15896,2327.00,-0.05,1.08,0.00,-0.21,0.07,-1.06,0.84,-0.49,1.47,Q
541,16375,2328.00,-0.03,1.07,-0.05,-0.22,0.08,-1.07,7.98,-0.56,1.54,Q
561,16854,2328.00,-0.02,1.05,0.02,-0.22,0.08,-1.05,0.00,-0.42,1.12,Q
581,17338,2327.00,-0.04,1.02,-0.05,-0.22,0.08,-1.07,3.29,-0.35,0.07,Q
601,17822,2328.00,-0.10,1.07,-0.04,-0.21,0.08,-1.06,1.47,-0.63,0.77,Q
621,18312,2328.00,-0.05,1.04,-0.04,-0.21,0.08,-1.06,0.77,-0.63,1.40,Q
641,18791,2327.00,-0.09,1.05,-0.05,-0.21,0.08,-1.06,1.19,-0.70,0.98,Q
661,19270,2327.00,-0.09,1.01,-0.02,-0.21,0.08,-1.06,2.59,-0.49,0.14,Q
681,19749,2328.00,-0.04,1.05,0.00,-0.22,0.08,-1.07,-4.62,-0.98,-0.07,Q
701,20229,2328.00,-0.02,1.05,-0.02,-0.22,0.07,-1.07,3.08,-0.42,0.63,Q
721,20726,2328.00,-0.06,1.05,0.00,-0.22,0.08,-1.06,2.03,-0.56,0.07,Q
741,21206,2327.00,0.03,1.04,0.00,-0.22,0.08,-1.07,-0.14,-0.63,2.66,Q
761,21685,2328.00,-0.08,1.12,-0.04,-0.22,0.08,-1.06,1.75,-0.56,1.26,Q
781,22163,2328.00,-0.13,1.05,0.05,-0.21,0.08,-1.07,2.24,-0.70,-1.19,Q
801,22642,2328.00,-0.06,1.08,0.00,-0.21,0.08,-1.07,0.84,-0.70,0.84,A
821,23121,2328.00,-0.04,1.02,-0.04,-0.22,0.08,-1.07,2.31,-0.63,1.61,Q
841,23601,2328.00,-0.05,1.06,-0.08,-0.22,0.07,-1.06,3.15,-0.77,1.40,Q
861,24085,2328.00,-0.02,1.00,-0.04,-0.22,0.08,-1.06,1.26,-0.77,2.17,Q
881,24564,2328.00,-0.05,0.95,-0.06,-0.22,0.07,-1.07,1.47,-0.91,0.07,Q
901,25042,2327.00,-0.03,1.04,0.00,-0.22,0.07,-1.08,0.35,-0.77,0.98,Q
921,25522,2327.00,-0.05,1.05,0.00,-0.21,0.07,-1.07,2.66,-0.56,-4.41,Q
941,26001,2328.00,-0.01,1.07,-0.03,-0.22,0.08,-1.07,-2.59,-0.63,0.49,Q
961,26479,2327.00,-0.05,1.02,-0.08,-0.22,0.08,-1.07,1.47,-0.63,0.70,Q
981,26958,2327.00,-0.07,1.11,0.00,-0.21,0.08,-1.07,-0.14,-0.77,0.98,Q
1001,27453,2327.00,-0.02,1.09,0.00,-0.22,0.08,-1.07,0.98,-0.35,2.17,Q
1021,27932,2328.00,0.04,1.10,-0.07,-0.22,0.08,-1.07,2.31,-0.56,2.52,Q
1041,28412,2328.00,-0.05,1.07,-0.02,-0.22,0.08,-1.07,2.03,-0.70,1.54,Q
1061,28904,2328.00,-0.07,1.11,0.00,-0.22,0.08,-1.08,-0.42,-0.56,0.42,Q
1081,29383,2328.00,-0.05,1.05,0.00,-0.22,0.07,-1.07,0.28,-0.42,2.24,A
1101,29862,2328.00,-0.05,1.05,-0.07,-0.22,0.08,-1.08,0.42,-0.91,1.12,Q
1121,30343,2328.00,-0.05,1.07,-0.01,-0.22,0.08,-1.07,1.75,-0.70,1.12,Q
1141,30819,2328.00,-0.03,1.06,-0.02,-0.22,0.08,-1.07,2.03,-0.49,1.47,Q
1161,31297,2328.00,-0.04,1.04,-0.04,-0.22,0.08,-1.07,1.75,-0.84,1.40,Q
1181,31777,2328.00,-0.03,1.05,0.00,-0.22,0.08,-1.07,1.33,-0.63,1.40,Q
1201,32257,2328.00,-0.18,1.04,-0.06,-0.22,0.08,-1.07,1.05,0.35,-0.84,D
1221,32736,2328.00,-0.02,0.95,-0.15,-0.22,0.08,-1.07,3.08,-1.33,1.89,Q
1241,33216,2328.00,0.02,1.02,-0.09,-0.22,0.08,-1.07,-1.05,-0.63,2.38,Q
1261,33695,2329.00,-0.05,1.05,0.00,-0.22,0.08,-1.07,0.70,-0.42,1.05,Q
1281,34174,2328.00,-0.02,1.12,-0.08,-0.22,0.08,-1.06,1.89,-0.49,0.91,Q
1301,34666,2328.00,-0.04,1.09,0.00,-0.21,0.08,-1.07,1.26,-0.56,1.05,Q
1321,35145,2328.00,-0.02,1.05,-0.06,-0.22,0.08,-1.06,0.98,-0.70,1.12,Q
1341,35631,2328.00,0.00,1.09,-0.13,-0.22,0.08,-1.06,-26.25,11.62,8.82,Q
