AcelX,AcelY,AcelZ,GyroX,GyroY,GyroZ,Latitud,Longitud,Altitud,Hora
-18.13,8.06,1112.73,1.7,-1.3,-0.3,latitud,longitude,altitude,
-20.57,6.71,1110.66,1.7,-1.2,-0.4,latitud,longitude,altitude,
-14.34,5.49,1108.09,1.7,-1.3,-0.3,latitud,longitude,altitude,
-15.32,5.37,1110.78,1.7,-1.3,-0.3,latitud,longitude,altitude,
-14.47,6.35,1111.88,1.7,-1.3,-0.4,latitud,longitude,altitude,
-16.78,5.62,1110.78,1.7,-1.2,-0.4,latitud,longitude,altitude,
-15.69,5.74,1114.20,1.7,-1.2,-0.4,latitud,longitude,altitude,
-17.40,6.84,1115.05,1.7,-1.2,-0.4,latitud,longitude,altitude,
-15.56,5.86,1105.77,1.7,-1.2,-0.4,latitud,longitude,altitude,
-14.95,4.64,1108.70,1.7,-1.3,-0.3,latitud,longitude,altitude,
-18.25,5.25,1114.69,1.7,-1.2,-0.3,latitud,longitude,altitude,
-18.49,4.39,1110.29,1.7,-1.3,-0.4,latitud,longitude,altitude,
-14.34,6.84,1112.61,1.7,-1.3,-0.4,latitud,longitude,altitude,
-14.95,5.49,1111.39,1.7,-1.3,-0.3,latitud,longitude,altitude,
-17.40,8.18,1112.00,1.7,-1.2,-0.3,latitud,longitude,altitude,
-16.91,8.18,1111.27,1.8,-1.2,-0.3,latitud,longitude,altitude,
-16.91,4.76,1106.14,1.7,-1.2,-0.3,latitud,longitude,altitude,
-18.01,7.93,1117.37,1.7,-1.3,-0.3,latitud,longitude,altitude,
-15.56,6.71,1115.78,1.7,-1.3,-0.3,latitud,longitude,altitude,
-16.05,6.23,1110.29,1.7,-1.3,-0.3,latitud,longitude,altitude,
-18.62,6.59,1112.24,1.7,-1.2,-0.3,latitud,longitude,altitude,
-14.47,6.84,1113.10,1.8,-1.3,-0.3,latitud,longitude,altitude,
-20.45,7.20,1111.63,1.8,-1.2,-0.3,latitud,longitude,altitude,
-17.76,4.88,1106.26,1.7,-1.2,-0.3,latitud,longitude,altitude,
-16.05,7.93,1111.88,1.8,-1.3,-0.3,latitud,longitude,altitude,
-13.61,5.98,1109.92,1.8,-1.2,-0.3,latitud,longitude,altitude,
-18.37,6.59,1109.56,1.7,-1.3,-0.4,latitud,longitude,altitude,
-19.10,10.13,1113.34,1.7,-1.2,-0.3,latitud,longitude,altitude,
-19.35,6.10,1109.56,1.8,-1.3,-0.3,latitud,longitude,altitude,
-19.23,7.32,1110.78,1.7,-1.2,-0.3,latitud,longitude,altitude,
-16.78,5.62,1115.17,1.7,-1.3,-0.3,latitud,longitude,altitude,
-18.37,7.08,1111.15,1.8,-1.3,-0.4,latitud,longitude,altitude,
-17.15,6.47,1114.07,1.7,-1.3,-0.4,latitud,longitude,altitude,
-16.42,6.96,1114.32,1.7,-1.3,-0.3,latitud,longitude,altitude,
-15.08,9.40,1109.07,1.7,-1.2,-0.3,latitud,longitude,altitude,
-15.93,7.69,1116.15,1.7,-1.2,-0.3,latitud,longitude,altitude,
-15.93,5.00,1110.78,1.7,-1.3,-0.4,latitud,longitude,altitude,
-16.17,6.35,1111.76,1.7,-1.3,-0.4,latitud,longitude,altitude,
-15.81,8.18,1110.66,1.7,-1.2,-0.4,latitud,longitude,altitude,
-15.56,8.67,1117.37,1.8,-1.2,-0.4,latitud,longitude,altitude,
-17.76,7.81,1108.83,1.7,-1.3,-0.3,latitud,longitude,altitude,
-17.88,5.37,1111.39,1.7,-1.2,-0.3,latitud,longitude,altitude,
-21.91,7.08,1112.85,1.7,-1.2,-0.3,latitud,longitude,altitude,
-19.35,6.47,1109.56,1.7,-1.3,-0.3,latitud,longitude,altitude,
-18.25,6.23,1117.13,1.7,-1.3,-0.3,latitud,longitude,altitude,
-16.91,6.59,1114.44,1.7,-1.2,-0.4,latitud,longitude,altitude,
-16.91,4.15,1112.98,1.7,-1.2,-0.4,latitud,longitude,altitude,
-18.25,4.64,1114.32,1.7,-1.3,-0.4,latitud,longitude,altitude,
